,Thermostat,Smoke_Alarm,Light A,Light B,Door,Person
44,81,OFF,OFF,OFF,LOCKED,Home
45,81,OFF,OFF,ON,LOCKED,Away
46,80,OFF,ON,ON,LOCKED,Away
47,81,OFF,ON,ON,LOCKED,Away
48,81,OFF,ON,ON,LOCKED,Away
49,81,OFF,OFF,ON,LOCKED,Away
50,80,OFF,ON,ON,LOCKED,Away
51,81,OFF,OFF,ON,LOCKED,Away
52,80,OFF,ON,ON,LOCKED,Away
53,81,OFF,OFF,ON,LOCKED,Home
54,80,OFF,ON,ON,LOCKED,Home
55,80,OFF,OFF,ON,LOCKED,Away
56,80,OFF,ON,ON,LOCKED,Away
57,79,OFF,OFF,ON,LOCKED,Away
58,79,OFF,ON,ON,LOCKED,Away
59,78,OFF,OFF,ON,LOCKED,Away
60,77,OFF,ON,ON,LOCKED,Away
61,78,OFF,ON,ON,LOCKED,Away
62,77,OFF,ON,ON,LOCKED,Away
63,76,OFF,OFF,ON,LOCKED,Home
64,76,OFF,ON,ON,LOCKED,Home
65,76,OFF,ON,ON,LOCKED,Home
66,76,OFF,OFF,ON,LOCKED,Home
67,75,OFF,ON,ON,LOCKED,Home
68,74,OFF,ON,ON,LOCKED,Home
69,75,OFF,ON,ON,LOCKED,Home
70,74,OFF,ON,ON,LOCKED,Home
71,75,OFF,OFF,OFF,LOCKED,Home
72,76,OFF,OFF,OFF,LOCKED,Home
73,77,OFF,OFF,ON,LOCKED,Away
74,77,OFF,ON,ON,LOCKED,Away
75,78,OFF,ON,ON,LOCKED,Away
76,77,OFF,OFF,ON,LOCKED,Away
77,77,OFF,ON,ON,LOCKED,Away
78,77,OFF,OFF,ON,LOCKED,Away
79,76,OFF,ON,ON,LOCKED,Away
80,76,OFF,ON,ON,LOCKED,Away
81,75,OFF,OFF,ON,LOCKED,Away
82,75,OFF,ON,ON,LOCKED,Away
83,74,OFF,ON,ON,LOCKED,Away
84,74,OFF,OFF,ON,LOCKED,Home
85,73,OFF,ON,ON,LOCKED,Home
86,73,OFF,OFF,ON,LOCKED,Away
87,74,OFF,ON,ON,LOCKED,Away
88,74,OFF,ON,ON,LOCKED,Away
89,75,OFF,ON,ON,LOCKED,Away
90,75,OFF,ON,ON,LOCKED,Away
91,76,OFF,OFF,ON,LOCKED,Home
92,76,OFF,ON,ON,LOCKED,Home
93,76,OFF,OFF,OFF,LOCKED,Home
94,77,OFF,OFF,OFF,LOCKED,Home
95,77,OFF,OFF,OFF,LOCKED,Home
96,78,OFF,OFF,OFF,LOCKED,Home
97,79,OFF,OFF,OFF,LOCKED,Home
98,80,OFF,OFF,ON,LOCKED,Home
99,80,OFF,ON,ON,LOCKED,Home
100,81,OFF,ON,ON,LOCKED,Home
101,81,OFF,OFF,OFF,LOCKED,Home
102,82,OFF,OFF,OFF,LOCKED,Home
103,82,OFF,OFF,OFF,LOCKED,Home
104,83,OFF,OFF,OFF,LOCKED,Home
105,83,OFF,OFF,OFF,LOCKED,Home
106,84,OFF,OFF,ON,LOCKED,Home
107,83,OFF,ON,OFF,LOCKED,Home
108,83,OFF,OFF,OFF,LOCKED,Home
109,84,OFF,OFF,OFF,LOCKED,Home
110,85,OFF,OFF,OFF,LOCKED,Home
111,84,OFF,OFF,OFF,LOCKED,Home
112,83,OFF,OFF,ON,LOCKED,Away
113,82,OFF,ON,ON,LOCKED,Away
114,82,OFF,ON,ON,LOCKED,Away
115,83,OFF,OFF,ON,LOCKED,Away
116,84,OFF,ON,ON,LOCKED,Away
117,83,OFF,OFF,ON,LOCKED,Home
118,84,OFF,ON,ON,LOCKED,Home
119,85,OFF,ON,ON,LOCKED,Home
120,84,OFF,ON,ON,LOCKED,Home
121,83,OFF,ON,ON,LOCKED,Home
122,82,OFF,ON,ON,LOCKED,Home
123,82,OFF,OFF,OFF,LOCKED,Home
124,82,OFF,OFF,OFF,LOCKED,Home
125,83,OFF,OFF,OFF,LOCKED,Home
126,84,OFF,OFF,OFF,LOCKED,Home
127,85,OFF,OFF,OFF,LOCKED,Home
128,85,OFF,OFF,ON,LOCKED,Home
129,84,OFF,ON,ON,LOCKED,Home
130,85,OFF,OFF,ON,LOCKED,Home
131,84,OFF,ON,ON,LOCKED,Home
132,84,OFF,ON,ON,LOCKED,Home
133,85,OFF,OFF,OFF,LOCKED,Home
134,84,OFF,OFF,OFF,LOCKED,Home
135,84,OFF,OFF,OFF,LOCKED,Home
136,84,OFF,OFF,OFF,LOCKED,Home
137,84,OFF,OFF,OFF,LOCKED,Home
138,84,OFF,OFF,ON,LOCKED,Home
139,83,OFF,ON,ON,LOCKED,Home
140,84,OFF,ON,ON,LOCKED,Home
141,85,OFF,ON,ON,LOCKED,Home
142,84,OFF,OFF,OFF,LOCKED,Home
143,83,OFF,OFF,OFF,LOCKED,Home
144,83,OFF,OFF,OFF,LOCKED,Home
145,84,OFF,OFF,OFF,LOCKED,Home
146,84,OFF,OFF,OFF,LOCKED,Home
147,84,OFF,OFF,ON,LOCKED,Home
148,84,OFF,ON,ON,LOCKED,Home
149,83,OFF,OFF,OFF,LOCKED,Home
150,82,OFF,OFF,OFF,LOCKED,Home
151,82,OFF,OFF,OFF,LOCKED,Home
152,82,OFF,OFF,OFF,LOCKED,Home
153,82,OFF,OFF,OFF,LOCKED,Home
154,83,OFF,OFF,ON,LOCKED,Home
155,83,OFF,ON,ON,LOCKED,Home
156,84,OFF,ON,ON,LOCKED,Home
157,84,OFF,ON,ON,LOCKED,Home
158,85,OFF,ON,ON,LOCKED,Home
159,86,OFF,ON,ON,LOCKED,Home
160,87,OFF,ON,ON,LOCKED,Home
161,88,OFF,OFF,ON,LOCKED,Home
162,89,OFF,ON,ON,LOCKED,Home
163,90,OFF,ON,ON,LOCKED,Home
164,91,ON,OFF,ON,OPEN,Away
165,90,ON,ON,ON,OPEN,Away
166,90,ON,OFF,ON,LOCKED,Home
167,89,ON,ON,ON,LOCKED,Home
168,90,ON,OFF,OFF,LOCKED,Home
169,89,ON,OFF,OFF,LOCKED,Home
170,88,ON,OFF,OFF,OPEN,Home
171,87,ON,OFF,OFF,OPEN,Home
172,86,ON,OFF,OFF,OPEN,Home
173,85,ON,OFF,OFF,OPEN,Home
174,85,ON,OFF,ON,OPEN,Home
175,84,ON,ON,OFF,OPEN,Home
176,83,OFF,ON,OFF,OPEN,Home
177,82,OFF,OFF,OFF,OPEN,Home
178,81,OFF,OFF,OFF,OPEN,Home
179,82,OFF,OFF,OFF,OPEN,Home
180,82,OFF,OFF,OFF,OPEN,Home
181,81,OFF,OFF,OFF,OPEN,Home
182,82,OFF,OFF,ON,OPEN,Home
183,82,OFF,ON,ON,OPEN,Home
184,81,OFF,OFF,OFF,OPEN,Home
185,81,OFF,OFF,OFF,OPEN,Home
186,82,OFF,OFF,OFF,OPEN,Home
187,82,OFF,OFF,ON,LOCKED,Away
188,83,OFF,ON,ON,LOCKED,Home
189,83,OFF,ON,ON,LOCKED,Home
190,82,OFF,ON,ON,LOCKED,Home
191,81,OFF,OFF,ON,LOCKED,Home
192,80,OFF,ON,ON,LOCKED,Home
193,81,OFF,ON,ON,LOCKED,Home
194,82,OFF,ON,ON,LOCKED,Home
195,82,OFF,OFF,OFF,LOCKED,Home
196,82,OFF,OFF,OFF,LOCKED,Home
197,82,OFF,OFF,ON,LOCKED,Away
198,82,OFF,ON,ON,LOCKED,Home
199,81,OFF,ON,ON,LOCKED,Home
