,Thermostat,Smoke_Alarm,Light A,Light B,Door,Person
392,47,OFF,ON,ON,LOCKED,Away
393,46,OFF,ON,ON,LOCKED,Away
394,45,OFF,ON,ON,LOCKED,Away
395,46,OFF,OFF,ON,LOCKED,Away
396,47,OFF,ON,ON,LOCKED,Away
397,48,OFF,ON,ON,LOCKED,Away
398,48,OFF,OFF,ON,LOCKED,Home
399,48,OFF,ON,OFF,LOCKED,Home
400,48,OFF,ON,OFF,LOCKED,Home
401,47,OFF,ON,OFF,LOCKED,Home
402,46,OFF,ON,OFF,LOCKED,Home
403,45,OFF,ON,OFF,LOCKED,Home
404,44,OFF,OFF,ON,LOCKED,Away
405,43,OFF,ON,ON,LOCKED,Away
406,42,OFF,ON,ON,LOCKED,Away
407,41,OFF,OFF,ON,LOCKED,Home
408,41,OFF,ON,ON,LOCKED,Away
409,41,OFF,ON,ON,LOCKED,Away
410,42,OFF,ON,ON,LOCKED,Away
411,41,OFF,ON,ON,LOCKED,Away
412,42,OFF,ON,ON,LOCKED,Away
413,43,OFF,OFF,ON,LOCKED,Away
414,42,OFF,ON,ON,LOCKED,Away
415,43,OFF,OFF,ON,LOCKED,Away
416,42,OFF,ON,ON,LOCKED,Away
417,42,OFF,ON,ON,LOCKED,Away
418,42,OFF,ON,ON,LOCKED,Away
419,42,OFF,ON,ON,LOCKED,Away
420,43,OFF,OFF,ON,LOCKED,Away
421,44,OFF,ON,ON,LOCKED,Away
422,44,OFF,ON,ON,LOCKED,Away
423,44,OFF,OFF,ON,LOCKED,Away
424,45,OFF,ON,ON,LOCKED,Away
425,46,OFF,ON,ON,LOCKED,Away
426,45,OFF,OFF,ON,LOCKED,Away
427,45,OFF,ON,ON,LOCKED,Away
428,46,OFF,ON,ON,LOCKED,Away
429,45,OFF,OFF,ON,LOCKED,Away
430,46,OFF,ON,ON,LOCKED,Away
431,47,OFF,OFF,ON,LOCKED,Away
432,48,OFF,ON,ON,LOCKED,Away
433,47,OFF,ON,ON,LOCKED,Away
434,46,OFF,ON,ON,LOCKED,Away
435,47,OFF,OFF,ON,LOCKED,Away
436,46,OFF,ON,ON,LOCKED,Away
437,46,OFF,ON,ON,LOCKED,Away
438,47,OFF,ON,ON,LOCKED,Away
439,48,OFF,ON,ON,LOCKED,Away
440,48,OFF,OFF,ON,LOCKED,Home
441,48,OFF,ON,ON,LOCKED,Home
442,48,OFF,OFF,ON,LOCKED,Home
443,49,OFF,ON,ON,LOCKED,Home
444,50,OFF,OFF,OFF,LOCKED,Home
445,50,OFF,OFF,OFF,LOCKED,Home
446,50,OFF,OFF,OFF,LOCKED,Home
447,50,OFF,OFF,OFF,LOCKED,Home
448,51,OFF,OFF,OFF,LOCKED,Home
449,52,OFF,OFF,ON,LOCKED,Home
450,51,OFF,ON,ON,LOCKED,Home
451,50,OFF,ON,ON,LOCKED,Home
452,49,OFF,ON,ON,LOCKED,Home
453,49,OFF,OFF,OFF,LOCKED,Home
454,48,OFF,OFF,OFF,LOCKED,Home
455,48,OFF,OFF,OFF,LOCKED,Home
456,48,OFF,OFF,OFF,LOCKED,Home
457,47,OFF,OFF,OFF,LOCKED,Home
458,47,OFF,OFF,ON,LOCKED,Home
459,47,OFF,ON,OFF,LOCKED,Home
460,47,OFF,OFF,OFF,LOCKED,Home
461,47,OFF,OFF,OFF,LOCKED,Home
462,48,OFF,OFF,OFF,LOCKED,Home
463,49,OFF,OFF,OFF,LOCKED,Home
464,48,OFF,OFF,OFF,LOCKED,Home
465,47,OFF,OFF,ON,LOCKED,Home
466,47,OFF,ON,ON,LOCKED,Home
467,46,OFF,ON,ON,LOCKED,Home
468,45,OFF,OFF,ON,LOCKED,Away
469,45,OFF,ON,ON,LOCKED,Away
470,45,OFF,ON,ON,LOCKED,Away
471,46,OFF,OFF,ON,LOCKED,Away
472,46,OFF,ON,ON,LOCKED,Away
473,46,OFF,ON,ON,LOCKED,Away
474,45,OFF,ON,ON,LOCKED,Away
475,46,OFF,ON,ON,LOCKED,Away
476,45,OFF,ON,ON,LOCKED,Away
477,45,OFF,ON,ON,LOCKED,Away
478,46,OFF,ON,ON,LOCKED,Away
479,47,OFF,ON,ON,LOCKED,Away
480,47,OFF,OFF,ON,LOCKED,Away
481,47,OFF,ON,ON,LOCKED,Away
482,48,OFF,OFF,ON,LOCKED,Home
483,49,OFF,ON,ON,LOCKED,Away
484,48,OFF,ON,ON,LOCKED,Away
485,49,OFF,ON,ON,LOCKED,Away
486,50,OFF,OFF,ON,LOCKED,Home
487,49,OFF,ON,OFF,LOCKED,Home
488,49,OFF,ON,OFF,LOCKED,Home
489,50,OFF,ON,OFF,LOCKED,Home
490,50,OFF,ON,OFF,LOCKED,Home
491,50,OFF,ON,OFF,LOCKED,Home
492,51,OFF,OFF,OFF,LOCKED,Home
493,51,OFF,OFF,OFF,LOCKED,Home
494,51,OFF,OFF,OFF,LOCKED,Home
495,52,OFF,OFF,OFF,LOCKED,Home
496,51,OFF,OFF,OFF,LOCKED,Home
497,52,OFF,OFF,ON,LOCKED,Home
498,52,OFF,ON,ON,LOCKED,Home
499,53,OFF,OFF,OFF,LOCKED,Home
500,53,OFF,OFF,OFF,LOCKED,Home
501,54,OFF,OFF,OFF,LOCKED,Home
502,53,OFF,OFF,OFF,LOCKED,Home
503,52,OFF,OFF,OFF,LOCKED,Home
504,51,OFF,OFF,ON,LOCKED,Home
505,52,OFF,ON,ON,LOCKED,Home
506,51,OFF,OFF,ON,LOCKED,Home
507,51,OFF,ON,ON,LOCKED,Home
508,50,OFF,ON,ON,LOCKED,Home
509,51,OFF,ON,ON,LOCKED,Home
510,51,OFF,ON,ON,LOCKED,Home
511,51,OFF,OFF,OFF,LOCKED,Home
512,50,OFF,OFF,OFF,LOCKED,Home
513,50,OFF,OFF,OFF,LOCKED,Home
514,51,OFF,OFF,OFF,LOCKED,Home
515,50,OFF,OFF,OFF,LOCKED,Home
516,51,OFF,OFF,ON,LOCKED,Home
517,51,OFF,ON,ON,LOCKED,Home
518,50,OFF,OFF,OFF,LOCKED,Home
519,49,OFF,OFF,OFF,LOCKED,Home
520,50,OFF,OFF,OFF,LOCKED,Home
521,49,OFF,OFF,OFF,LOCKED,Home
522,48,OFF,OFF,OFF,LOCKED,Home
523,49,OFF,OFF,ON,LOCKED,Home
524,49,OFF,ON,OFF,LOCKED,Home
525,48,OFF,OFF,OFF,LOCKED,Home
526,49,OFF,OFF,OFF,LOCKED,Home
527,48,OFF,OFF,OFF,LOCKED,Home
528,49,OFF,OFF,OFF,LOCKED,Home
529,50,OFF,OFF,OFF,LOCKED,Home
530,50,OFF,OFF,ON,LOCKED,Home
531,50,OFF,ON,ON,LOCKED,Home
532,51,OFF,ON,ON,LOCKED,Home
533,51,OFF,ON,ON,LOCKED,Home
534,50,OFF,ON,ON,LOCKED,Home
535,50,OFF,ON,ON,LOCKED,Home
536,50,OFF,ON,ON,LOCKED,Home
537,51,OFF,ON,ON,LOCKED,Home
538,51,OFF,OFF,ON,LOCKED,Away
539,51,OFF,ON,ON,LOCKED,Away
540,50,OFF,ON,ON,LOCKED,Away
541,49,OFF,ON,ON,LOCKED,Away
542,49,OFF,ON,ON,LOCKED,Away
543,49,OFF,ON,ON,LOCKED,Away
544,50,OFF,ON,ON,LOCKED,Away
545,51,OFF,ON,ON,LOCKED,Away
546,52,OFF,ON,ON,LOCKED,Away
547,53,OFF,ON,ON,LOCKED,Away
548,54,OFF,OFF,ON,LOCKED,Away
549,54,OFF,ON,ON,LOCKED,Away
550,55,OFF,OFF,ON,LOCKED,Away
551,54,OFF,ON,ON,LOCKED,Away
552,53,OFF,OFF,ON,LOCKED,Home
553,54,OFF,ON,ON,LOCKED,Home
554,55,OFF,ON,ON,LOCKED,Home
555,54,OFF,ON,ON,LOCKED,Home
556,55,OFF,OFF,ON,LOCKED,Home
557,55,OFF,ON,ON,LOCKED,Home
558,54,OFF,ON,ON,LOCKED,Home
559,53,OFF,ON,ON,LOCKED,Home
560,53,OFF,ON,ON,LOCKED,Home
561,52,OFF,OFF,OFF,LOCKED,Home
562,51,OFF,OFF,OFF,LOCKED,Home
563,52,OFF,OFF,ON,LOCKED,Away
564,51,OFF,ON,ON,LOCKED,Away
565,52,OFF,OFF,ON,LOCKED,Away
566,53,OFF,ON,ON,LOCKED,Away
567,52,OFF,OFF,ON,LOCKED,Away
568,53,OFF,ON,ON,LOCKED,Away
569,53,OFF,OFF,ON,LOCKED,Away
570,53,OFF,ON,ON,LOCKED,Away
571,52,OFF,ON,ON,LOCKED,Away
572,51,OFF,ON,ON,LOCKED,Away
573,50,OFF,ON,ON,LOCKED,Away
574,49,OFF,ON,ON,LOCKED,Away
575,49,OFF,ON,ON,LOCKED,Away
576,48,OFF,ON,ON,LOCKED,Away
577,49,OFF,OFF,ON,LOCKED,Away
578,50,OFF,ON,ON,LOCKED,Away
579,50,OFF,ON,ON,LOCKED,Away
580,49,OFF,ON,ON,LOCKED,Away
581,49,OFF,OFF,ON,LOCKED,Home
582,50,OFF,ON,ON,LOCKED,Home
583,51,OFF,ON,ON,LOCKED,Home
584,52,OFF,ON,ON,LOCKED,Home
585,53,OFF,ON,ON,LOCKED,Home
586,52,OFF,OFF,OFF,LOCKED,Home
587,53,OFF,OFF,OFF,LOCKED,Home
588,53,OFF,OFF,OFF,LOCKED,Home
589,54,OFF,OFF,ON,LOCKED,Away
590,53,OFF,ON,ON,LOCKED,Home
