,Thermostat,LightSensor,LightA,LightB,AC,Window
131,84,7,OFF,OFF,OFF,Closed
132,84,7,ON,ON,OFF,Closed
133,84,7,ON,ON,OFF,Closed
134,84,7,ON,ON,OFF,Closed
135,84,7,ON,ON,OFF,Closed
136,84,7,ON,ON,OFF,Closed
137,84,7,OFF,OFF,OFF,Closed
138,84,7,OFF,OFF,OFF,Closed
139,84,7,ON,OFF,OFF,Closed
140,84,7,ON,OFF,OFF,Closed
141,84,7,ON,OFF,OFF,Closed
142,84,7,OFF,ON,OFF,Closed
143,84,7,ON,OFF,OFF,Closed
144,84,7,OFF,ON,OFF,Closed
145,84,7,ON,OFF,OFF,Closed
146,84,7,ON,OFF,OFF,Closed
147,84,7,ON,OFF,OFF,Closed
148,84,7,ON,OFF,OFF,Closed
149,84,7,OFF,ON,OFF,Closed
150,84,7,ON,OFF,OFF,Closed
151,84,7,OFF,ON,OFF,Closed
152,84,7,OFF,ON,OFF,Closed
153,84,7,OFF,ON,OFF,Closed
154,84,7,ON,OFF,OFF,Closed
155,84,7,ON,OFF,OFF,Closed
156,84,7,OFF,OFF,OFF,Closed
157,84,7,ON,OFF,OFF,Closed
158,84,7,ON,OFF,OFF,Closed
159,84,7,OFF,OFF,OFF,Closed
160,84,7,ON,OFF,OFF,Closed
161,84,7,OFF,OFF,OFF,Closed
162,84,7,OFF,OFF,OFF,Closed
163,84,7,OFF,OFF,OFF,Closed
164,84,7,ON,ON,OFF,Closed
165,84,7,OFF,OFF,OFF,Closed
166,84,7,OFF,OFF,OFF,Closed
167,84,7,OFF,OFF,OFF,Closed
168,84,7,OFF,OFF,OFF,Closed
169,84,7,OFF,OFF,OFF,Closed
170,84,7,ON,OFF,OFF,Closed
171,84,7,OFF,ON,OFF,Closed
172,84,7,ON,OFF,OFF,Closed
173,84,7,ON,OFF,OFF,Closed
174,84,7,OFF,ON,OFF,Closed
175,84,7,ON,ON,OFF,Closed
176,84,7,ON,ON,OFF,Closed
177,84,7,OFF,OFF,OFF,Closed
178,84,7,ON,OFF,OFF,Closed
179,84,7,ON,OFF,OFF,Closed
180,84,7,ON,OFF,OFF,Closed
181,84,7,ON,OFF,OFF,Closed
182,84,7,ON,OFF,OFF,Closed
183,84,7,ON,OFF,OFF,Closed
184,84,7,OFF,OFF,OFF,Closed
185,84,7,ON,ON,OFF,Closed
186,84,7,OFF,OFF,OFF,Closed
187,84,7,ON,OFF,OFF,Closed
188,84,7,OFF,OFF,OFF,Closed
189,84,7,OFF,OFF,OFF,Closed
190,84,7,ON,OFF,OFF,Closed
191,84,7,ON,OFF,OFF,Closed
192,84,7,ON,OFF,OFF,Closed
193,84,7,OFF,OFF,OFF,Closed
194,84,7,OFF,OFF,OFF,Closed
195,84,7,OFF,OFF,OFF,Closed
196,84,7,OFF,OFF,OFF,Closed
197,84,7,OFF,OFF,OFF,Closed
198,84,7,ON,OFF,OFF,Closed
199,84,7,ON,OFF,OFF,Closed
