,Thermostat,LightSensor,LightA,LightB,AC,Window
98,94,2,ON,ON,OFF,Open
99,95,2,ON,ON,OFF,Open
100,95,2,ON,ON,OFF,Open
101,94,2,ON,ON,OFF,Open
102,93,3,ON,ON,OFF,Open
103,94,4,ON,ON,ON,Open
104,95,6,ON,ON,ON,Open
105,94,7,ON,ON,ON,Closed
106,94,7,ON,ON,ON,Open
107,93,8,ON,ON,ON,Open
108,94,7,ON,ON,ON,Open
109,93,6,ON,ON,ON,Open
110,92,7,ON,ON,ON,Open
111,93,8,ON,ON,ON,Open
112,93,9,ON,ON,ON,Open
113,94,10,OFF,OFF,ON,Open
114,93,10,OFF,OFF,ON,Open
115,92,8,OFF,OFF,ON,Open
116,91,7,OFF,OFF,ON,Open
117,90,6,OFF,OFF,ON,Open
118,89,7,OFF,OFF,ON,Open
119,90,8,OFF,OFF,ON,Open
120,89,8,OFF,OFF,ON,Open
121,90,8,OFF,OFF,ON,Open
122,90,9,OFF,OFF,ON,Open
123,89,8,OFF,OFF,ON,Open
124,90,9,OFF,OFF,ON,Open
125,90,8,OFF,OFF,ON,Open
126,89,9,OFF,OFF,ON,Open
127,89,10,OFF,OFF,ON,Open
128,89,9,OFF,OFF,ON,Open
129,88,8,OFF,OFF,ON,Open
130,89,9,OFF,OFF,ON,Open
131,89,8,OFF,OFF,ON,Open
132,90,7,OFF,OFF,ON,Open
133,90,8,OFF,OFF,ON,Open
134,89,8,OFF,OFF,ON,Open
135,90,9,OFF,OFF,ON,Open
136,90,10,OFF,OFF,ON,Open
137,91,9,OFF,OFF,ON,Open
138,91,10,OFF,OFF,ON,Open
139,91,8,OFF,OFF,ON,Open
140,90,7,OFF,OFF,ON,Open
141,90,8,OFF,OFF,ON,Open
142,91,8,OFF,OFF,ON,Open
143,91,8,OFF,OFF,ON,Open
144,92,9,OFF,OFF,ON,Open
145,92,8,OFF,OFF,ON,Open
146,91,8,OFF,OFF,ON,Open
147,91,8,OFF,OFF,ON,Open
148,92,8,OFF,OFF,ON,Open
149,93,7,OFF,OFF,ON,Open
150,92,7,OFF,OFF,ON,Open
151,93,7,OFF,OFF,ON,Open
152,94,6,OFF,OFF,ON,Open
153,94,5,OFF,OFF,ON,Open
154,93,4,OFF,ON,ON,Open
155,94,6,OFF,ON,ON,Open
156,93,6,OFF,ON,ON,Open
157,93,6,ON,ON,OFF,Open
158,93,6,ON,ON,OFF,Open
159,94,7,ON,ON,OFF,Open
160,95,8,ON,ON,OFF,Open
161,96,8,ON,ON,OFF,Open
162,95,8,ON,ON,OFF,Open
163,95,8,ON,ON,OFF,Open
164,96,7,ON,ON,OFF,Open
165,97,7,ON,ON,OFF,Open
166,96,6,ON,ON,OFF,Open
167,95,7,ON,ON,OFF,Open
168,94,8,ON,ON,OFF,Open
169,93,7,ON,ON,OFF,Open
170,92,8,ON,ON,OFF,Open
171,92,8,ON,ON,OFF,Open
172,93,8,ON,ON,OFF,Open
173,94,9,ON,ON,OFF,Open
174,94,8,OFF,ON,OFF,Open
175,94,9,OFF,ON,OFF,Open
176,94,10,OFF,OFF,OFF,Open
177,93,8,OFF,OFF,OFF,Open
178,94,9,OFF,OFF,OFF,Open
179,94,8,OFF,OFF,OFF,Open
180,93,9,OFF,OFF,OFF,Open
181,93,8,OFF,OFF,OFF,Open
182,93,9,OFF,OFF,OFF,Open
183,94,9,OFF,OFF,OFF,Open
184,95,10,OFF,OFF,OFF,Open
185,96,10,OFF,OFF,OFF,Open
186,95,9,OFF,OFF,OFF,Open
187,95,8,OFF,OFF,OFF,Open
188,96,8,ON,OFF,ON,Open
189,95,7,ON,OFF,ON,Open
190,95,6,ON,OFF,ON,Open
191,96,6,ON,OFF,ON,Closed
192,95,7,ON,OFF,ON,Closed
193,95,6,ON,OFF,ON,Closed
194,96,7,ON,OFF,ON,Closed
195,95,7,ON,OFF,ON,Closed
196,95,8,ON,OFF,ON,Closed
197,96,9,ON,OFF,ON,Closed
198,95,8,ON,OFF,ON,Closed
199,96,7,ON,OFF,ON,Closed
200,97,7,ON,OFF,ON,Closed
201,97,6,ON,OFF,ON,Closed
202,96,6,ON,OFF,ON,Closed
203,96,5,ON,OFF,ON,Closed
204,96,6,ON,ON,ON,Closed
205,96,6,ON,ON,ON,Closed
206,95,7,ON,ON,ON,Closed
207,95,6,ON,ON,ON,Closed
208,95,5,ON,ON,ON,Closed
209,94,5,ON,ON,ON,Closed
210,94,7,ON,ON,ON,Closed
211,94,7,ON,ON,ON,Closed
212,95,7,ON,ON,ON,Closed
213,94,6,ON,ON,ON,Closed
214,95,5,ON,ON,ON,Closed
215,94,4,ON,ON,ON,Closed
216,95,5,ON,ON,ON,Closed
217,94,5,ON,ON,ON,Closed
218,95,7,ON,ON,ON,Closed
219,94,8,ON,ON,ON,Closed
220,95,9,ON,ON,ON,Closed
221,95,8,OFF,ON,OFF,Closed
222,96,7,OFF,ON,OFF,Open
223,96,6,OFF,ON,OFF,Open
224,97,6,OFF,ON,OFF,Open
225,98,5,OFF,ON,OFF,Open
226,99,3,OFF,ON,OFF,Open
227,98,5,OFF,ON,OFF,Open
228,98,3,OFF,ON,OFF,Open
229,99,4,OFF,ON,OFF,Open
230,98,4,OFF,ON,OFF,Open
231,98,4,OFF,ON,OFF,Open
232,98,5,OFF,ON,OFF,Open
233,98,4,OFF,ON,OFF,Open
234,97,3,OFF,ON,OFF,Open
235,97,3,OFF,ON,OFF,Open
236,96,2,OFF,ON,OFF,Open
237,96,2,OFF,ON,OFF,Open
238,97,3,OFF,ON,OFF,Open
239,98,3,OFF,ON,OFF,Open
240,97,3,OFF,ON,OFF,Open
241,98,4,OFF,ON,OFF,Open
242,97,6,OFF,ON,OFF,Open
243,96,7,OFF,ON,OFF,Open
244,95,6,OFF,ON,OFF,Open
245,96,7,OFF,ON,OFF,Open
246,95,8,OFF,ON,ON,Open
247,95,8,OFF,ON,ON,Open
248,94,8,OFF,ON,ON,Closed
249,93,8,OFF,ON,ON,Open
250,93,8,OFF,ON,ON,Open
251,92,9,OFF,ON,ON,Open
252,93,9,OFF,OFF,ON,Open
253,92,9,OFF,OFF,ON,Open
254,93,8,OFF,OFF,ON,Open
255,93,8,OFF,OFF,ON,Open
256,94,8,OFF,OFF,ON,Open
257,95,9,OFF,OFF,ON,Open
258,95,9,OFF,OFF,ON,Open
259,94,10,OFF,OFF,ON,Open
260,95,8,OFF,OFF,ON,Open
261,95,8,OFF,OFF,ON,Open
262,94,9,OFF,OFF,ON,Open
263,93,10,OFF,OFF,ON,Open
264,92,10,OFF,OFF,ON,Open
265,93,8,OFF,OFF,ON,Open
266,92,9,OFF,OFF,ON,Open
267,92,9,OFF,OFF,ON,Open
268,92,9,OFF,OFF,ON,Open
269,92,10,OFF,OFF,ON,Open
270,92,10,OFF,OFF,ON,Open
271,92,9,OFF,OFF,ON,Open
272,92,9,OFF,OFF,ON,Open
273,93,9,OFF,OFF,ON,Open
274,94,10,OFF,OFF,ON,Open
275,95,9,OFF,OFF,ON,Open
276,95,8,OFF,OFF,ON,Open
277,95,9,OFF,OFF,ON,Open
278,95,10,OFF,OFF,ON,Open
279,95,8,OFF,OFF,ON,Open
280,94,7,OFF,OFF,ON,Open
281,95,8,OFF,OFF,ON,Open
282,94,9,OFF,OFF,ON,Open
283,95,8,OFF,OFF,ON,Open
284,94,7,OFF,OFF,ON,Open
285,93,7,OFF,OFF,ON,Open
286,92,6,OFF,OFF,ON,Open
287,92,5,OFF,OFF,ON,Open
288,93,5,OFF,ON,ON,Open
289,93,4,OFF,ON,ON,Open
290,94,4,OFF,ON,ON,Open
291,95,2,OFF,ON,ON,Open
292,94,2,OFF,ON,ON,Open
293,95,4,OFF,ON,ON,Open
294,95,4,OFF,ON,ON,Open
295,96,5,OFF,ON,ON,Open
296,96,5,OFF,ON,ON,Open
297,95,5,OFF,ON,ON,Open
298,96,5,ON,ON,OFF,Open
299,95,5,ON,ON,OFF,Open
300,95,5,ON,ON,OFF,Open
301,95,7,ON,ON,OFF,Open
302,95,6,ON,ON,OFF,Open
303,96,6,ON,ON,OFF,Open
304,97,5,ON,ON,OFF,Open
305,97,7,ON,ON,OFF,Open
306,98,7,ON,ON,OFF,Open
307,98,7,ON,ON,OFF,Open
308,99,7,ON,ON,OFF,Open
309,100,7,ON,ON,OFF,Open
310,99,7,ON,ON,OFF,Open
311,99,6,ON,ON,OFF,Open
312,100,7,ON,ON,OFF,Open
313,100,7,ON,ON,OFF,Open
314,100,8,ON,ON,OFF,Open
315,100,8,ON,ON,OFF,Open
316,101,9,ON,ON,OFF,Open
317,100,8,OFF,OFF,OFF,Open
318,99,8,OFF,OFF,OFF,Open
319,100,7,OFF,OFF,OFF,Open
320,101,8,OFF,OFF,OFF,Open
321,101,7,OFF,OFF,OFF,Open
322,101,7,OFF,OFF,OFF,Open
323,100,8,OFF,OFF,OFF,Open
324,99,8,OFF,OFF,OFF,Open
325,100,7,OFF,OFF,OFF,Open
326,99,7,OFF,OFF,OFF,Open
327,98,8,OFF,OFF,ON,Open
328,98,9,OFF,OFF,ON,Open
329,97,9,OFF,OFF,ON,Closed
330,96,8,OFF,OFF,ON,Open
331,96,8,OFF,OFF,ON,Open
332,96,7,OFF,OFF,ON,Open
333,96,7,OFF,OFF,ON,Open
334,97,7,OFF,OFF,ON,Open
335,97,8,OFF,OFF,ON,Open
336,98,7,OFF,OFF,ON,Open
337,98,7,OFF,OFF,ON,Open
338,98,6,OFF,OFF,ON,Open
339,99,7,OFF,OFF,ON,Open
340,99,7,OFF,OFF,ON,Open
341,98,7,OFF,OFF,ON,Open
342,97,7,OFF,OFF,ON,Open
343,96,6,OFF,OFF,ON,Open
344,97,7,ON,ON,OFF,Open
345,98,8,ON,ON,OFF,Open
346,97,9,ON,ON,OFF,Open
347,97,8,OFF,ON,OFF,Open
348,97,9,OFF,ON,OFF,Open
349,98,10,OFF,OFF,OFF,Open
350,98,8,OFF,OFF,OFF,Open
351,98,8,OFF,OFF,OFF,Open
352,98,8,OFF,OFF,OFF,Open
353,98,7,OFF,OFF,OFF,Open
354,98,8,OFF,OFF,ON,Open
355,99,9,OFF,OFF,ON,Open
356,98,9,OFF,OFF,ON,Open
357,97,9,OFF,OFF,ON,Closed
358,98,9,OFF,OFF,ON,Closed
359,97,9,OFF,OFF,ON,Closed
360,96,10,OFF,OFF,ON,Closed
361,96,10,OFF,OFF,ON,Closed
362,97,9,OFF,OFF,ON,Closed
363,98,8,OFF,OFF,ON,Closed
364,99,8,OFF,OFF,ON,Closed
365,98,7,OFF,OFF,ON,Closed
366,98,7,OFF,OFF,ON,Closed
367,98,8,OFF,OFF,ON,Closed
368,99,7,OFF,OFF,ON,Closed
369,100,6,OFF,OFF,ON,Closed
370,101,7,OFF,OFF,ON,Closed
371,101,7,OFF,OFF,ON,Closed
372,100,7,OFF,OFF,ON,Closed
373,99,7,OFF,OFF,ON,Closed
374,100,7,OFF,OFF,ON,Closed
375,99,7,OFF,OFF,ON,Closed
376,100,7,OFF,OFF,ON,Closed
377,99,6,OFF,OFF,ON,Closed
378,98,7,OFF,OFF,ON,Closed
379,99,6,OFF,OFF,ON,Closed
380,99,7,OFF,OFF,ON,Closed
381,100,7,OFF,OFF,ON,Closed
382,100,7,OFF,OFF,ON,Closed
383,101,7,OFF,OFF,ON,Closed
384,101,8,OFF,OFF,ON,Closed
385,101,9,OFF,OFF,ON,Closed
386,100,10,OFF,OFF,ON,Closed
387,99,9,OFF,OFF,ON,Closed
388,100,8,OFF,OFF,ON,Closed
389,100,8,ON,OFF,OFF,Closed
390,100,8,ON,OFF,OFF,Open
391,99,8,ON,OFF,OFF,Open
392,100,7,ON,OFF,OFF,Open
393,101,6,ON,OFF,OFF,Open
394,101,6,ON,OFF,OFF,Open
395,101,6,ON,OFF,OFF,Open
396,100,7,ON,OFF,OFF,Open
397,99,6,ON,OFF,OFF,Open
398,100,6,ON,OFF,OFF,Open
399,99,7,ON,OFF,OFF,Open
400,99,8,ON,OFF,OFF,Open
401,100,8,ON,OFF,OFF,Open
402,100,9,ON,OFF,OFF,Open
403,100,8,ON,OFF,OFF,Open
404,100,8,ON,OFF,OFF,Open
405,101,9,ON,OFF,OFF,Open
406,101,9,OFF,OFF,OFF,Open
407,101,10,OFF,OFF,OFF,Open
408,100,9,OFF,OFF,OFF,Open
409,99,8,OFF,OFF,OFF,Open
410,98,9,ON,OFF,ON,Open
411,97,8,ON,OFF,ON,Open
412,98,9,ON,OFF,ON,Closed
413,97,10,OFF,OFF,ON,Open
414,98,10,OFF,OFF,ON,Open
415,97,9,OFF,OFF,ON,Open
416,98,8,OFF,OFF,ON,Open
417,97,9,OFF,OFF,ON,Open
418,97,8,OFF,OFF,ON,Open
419,97,7,OFF,OFF,ON,Open
420,98,8,OFF,OFF,ON,Open
421,98,7,OFF,OFF,ON,Open
422,98,7,OFF,OFF,ON,Open
423,99,7,OFF,OFF,ON,Open
424,100,8,OFF,OFF,ON,Open
425,100,8,OFF,OFF,ON,Open
426,101,7,OFF,OFF,ON,Open
427,101,8,OFF,OFF,ON,Open
428,101,8,OFF,OFF,ON,Open
429,101,7,OFF,OFF,ON,Open
430,100,7,OFF,OFF,ON,Open
431,101,6,OFF,OFF,ON,Open
432,100,7,OFF,OFF,ON,Open
433,99,8,OFF,OFF,ON,Open
434,99,8,OFF,OFF,ON,Open
435,98,9,OFF,OFF,ON,Open
436,99,9,OFF,OFF,ON,Open
437,100,9,OFF,OFF,ON,Open
438,99,8,OFF,OFF,ON,Open
439,98,8,OFF,OFF,ON,Open
440,97,9,OFF,OFF,ON,Open
441,97,8,OFF,OFF,ON,Open
442,96,9,OFF,OFF,ON,Open
443,97,8,OFF,OFF,ON,Open
444,97,7,OFF,OFF,ON,Open
445,97,8,OFF,OFF,ON,Open
446,96,9,OFF,OFF,ON,Open
447,96,10,OFF,OFF,ON,Open
448,95,9,OFF,OFF,ON,Open
449,94,10,OFF,OFF,ON,Open
450,93,8,OFF,OFF,ON,Open
451,93,9,OFF,OFF,ON,Open
452,93,8,OFF,OFF,ON,Open
453,94,8,OFF,OFF,ON,Open
454,94,9,OFF,OFF,ON,Open
455,93,8,OFF,OFF,ON,Open
456,94,7,OFF,OFF,ON,Open
457,95,7,OFF,OFF,ON,Open
458,95,6,OFF,OFF,ON,Open
459,94,7,OFF,OFF,ON,Open
460,95,8,OFF,OFF,ON,Open
461,96,9,OFF,OFF,ON,Open
462,96,9,OFF,OFF,ON,Open
463,95,8,OFF,OFF,ON,Open
464,95,7,OFF,OFF,ON,Open
465,95,8,OFF,OFF,ON,Open
466,95,8,OFF,OFF,ON,Open
467,95,8,OFF,OFF,ON,Open
468,96,7,OFF,OFF,ON,Open
469,97,7,OFF,OFF,ON,Open
470,97,7,OFF,OFF,ON,Open
471,97,7,OFF,OFF,ON,Open
472,97,6,OFF,OFF,ON,Open
473,98,5,OFF,OFF,ON,Open
474,99,4,OFF,ON,ON,Open
475,99,4,OFF,ON,ON,Open
476,100,5,OFF,ON,ON,Open
477,101,6,OFF,ON,ON,Open
478,101,7,OFF,ON,ON,Open
479,100,8,OFF,ON,ON,Open
480,100,9,OFF,ON,ON,Open
481,101,9,OFF,OFF,ON,Open
482,101,10,OFF,OFF,ON,Open
483,101,9,OFF,OFF,ON,Open
484,100,10,OFF,OFF,ON,Open
485,101,8,OFF,OFF,ON,Open
486,101,7,OFF,OFF,ON,Open
487,101,6,OFF,OFF,ON,Open
488,100,6,OFF,OFF,ON,Open
489,101,6,OFF,OFF,ON,Open
490,100,6,OFF,OFF,ON,Open
491,101,7,OFF,OFF,ON,Open
492,100,7,OFF,OFF,ON,Open
493,99,8,OFF,OFF,ON,Open
494,99,7,OFF,OFF,ON,Open
495,100,7,OFF,OFF,ON,Open
496,101,8,OFF,OFF,ON,Open
497,101,8,OFF,OFF,ON,Open
498,100,9,OFF,OFF,ON,Open
499,101,10,OFF,OFF,ON,Open
500,100,8,OFF,OFF,ON,Open
501,101,7,OFF,OFF,ON,Open
502,100,7,OFF,OFF,ON,Open
503,99,6,OFF,OFF,ON,Open
504,100,6,OFF,OFF,ON,Open
505,99,5,OFF,OFF,ON,Open
506,98,4,OFF,ON,ON,Open
507,99,5,OFF,ON,ON,Open
508,99,5,OFF,ON,ON,Open
509,98,3,OFF,ON,ON,Open
510,97,3,OFF,ON,ON,Open
511,96,4,OFF,ON,ON,Open
512,97,2,OFF,ON,ON,Open
513,97,3,OFF,ON,ON,Open
514,97,4,OFF,ON,ON,Open
515,98,3,OFF,ON,ON,Open
516,98,2,OFF,ON,ON,Open
517,97,3,OFF,ON,ON,Open
518,97,3,OFF,ON,ON,Open
519,98,2,OFF,ON,ON,Open
520,97,4,OFF,ON,ON,Open
521,98,3,OFF,ON,ON,Open
522,97,2,OFF,ON,ON,Open
523,97,3,OFF,ON,ON,Open
524,96,5,OFF,ON,ON,Open
525,97,4,OFF,ON,ON,Open
526,97,3,OFF,ON,ON,Open
527,97,2,OFF,ON,ON,Open
528,98,2,OFF,ON,ON,Open
529,99,4,OFF,ON,ON,Open
530,99,6,OFF,ON,ON,Open
531,100,7,OFF,ON,ON,Open
532,100,8,OFF,ON,ON,Open
533,100,8,OFF,ON,ON,Open
534,100,8,OFF,ON,ON,Open
535,100,9,OFF,ON,ON,Open
536,101,8,OFF,ON,ON,Open
537,100,7,OFF,ON,ON,Open
538,99,6,OFF,ON,ON,Open
539,98,6,OFF,ON,ON,Open
540,98,7,OFF,ON,ON,Open
541,99,7,OFF,ON,ON,Open
542,100,8,OFF,ON,ON,Open
543,100,8,OFF,ON,ON,Open
544,101,9,OFF,ON,ON,Open
545,101,8,OFF,ON,ON,Open
546,101,9,OFF,ON,ON,Open
547,101,8,OFF,ON,ON,Open
548,101,7,OFF,ON,ON,Open
549,100,7,OFF,ON,ON,Open
550,100,7,OFF,ON,ON,Open
551,99,6,OFF,ON,ON,Open
552,99,5,OFF,ON,ON,Open
553,99,7,OFF,ON,ON,Open
554,100,6,OFF,ON,ON,Open
555,99,6,OFF,ON,ON,Open
556,99,7,OFF,ON,ON,Open
557,98,7,OFF,ON,ON,Open
558,97,7,OFF,ON,ON,Open
559,96,6,OFF,ON,ON,Open
560,96,5,OFF,ON,ON,Open
561,96,3,OFF,ON,ON,Open
562,96,3,OFF,ON,ON,Open
563,97,2,OFF,ON,ON,Open
564,97,2,OFF,ON,ON,Open
565,97,3,OFF,ON,ON,Open
566,98,4,OFF,ON,ON,Open
567,97,5,OFF,ON,ON,Open
568,98,6,OFF,ON,ON,Open
569,97,7,OFF,ON,ON,Open
570,96,7,OFF,ON,ON,Open
571,95,7,OFF,ON,ON,Open
572,95,8,OFF,ON,ON,Open
573,96,8,OFF,ON,ON,Open
574,97,8,OFF,ON,ON,Open
575,97,8,OFF,ON,ON,Open
576,97,9,OFF,ON,ON,Open
577,98,8,OFF,ON,ON,Open
578,99,8,OFF,ON,ON,Open
579,100,8,OFF,ON,ON,Open
580,101,8,OFF,ON,ON,Open
581,101,9,OFF,ON,ON,Open
582,101,9,OFF,OFF,ON,Open
583,100,8,OFF,OFF,ON,Open
584,101,8,OFF,OFF,ON,Open
585,100,7,OFF,OFF,ON,Open
586,99,6,OFF,OFF,ON,Open
587,99,6,OFF,OFF,ON,Open
588,99,5,OFF,OFF,ON,Open
589,100,3,OFF,ON,ON,Open
590,99,3,OFF,ON,ON,Open
591,99,3,OFF,ON,ON,Open
592,98,5,OFF,ON,ON,Open
593,98,7,OFF,ON,ON,Open
594,98,6,OFF,ON,ON,Open
595,97,5,OFF,ON,ON,Open
596,97,3,OFF,ON,ON,Open
597,97,2,OFF,ON,ON,Open
598,97,2,OFF,ON,ON,Open
599,97,2,OFF,ON,ON,Open
600,97,4,OFF,ON,ON,Open
601,97,3,OFF,ON,ON,Open
602,96,2,OFF,ON,ON,Open
603,96,3,OFF,ON,ON,Open
604,97,4,OFF,ON,ON,Open
605,96,4,OFF,ON,ON,Open
606,97,5,OFF,ON,ON,Open
607,98,4,OFF,ON,ON,Open
608,98,4,OFF,ON,ON,Open
609,99,3,OFF,ON,ON,Open
610,98,3,OFF,ON,ON,Open
611,97,2,OFF,ON,ON,Open
612,96,2,OFF,ON,ON,Open
613,97,2,OFF,ON,ON,Open
614,96,4,OFF,ON,ON,Open
615,97,3,OFF,ON,ON,Open
616,96,3,OFF,ON,ON,Open
617,96,2,OFF,ON,ON,Open
618,96,3,OFF,ON,ON,Open
619,96,2,OFF,ON,ON,Open
620,97,3,OFF,ON,ON,Open
621,96,3,OFF,ON,ON,Open
622,95,3,OFF,ON,ON,Open
623,94,5,OFF,ON,ON,Open
624,93,4,OFF,ON,ON,Open
625,92,3,OFF,ON,ON,Open
626,92,2,OFF,ON,ON,Open
627,92,4,OFF,ON,ON,Open
628,92,4,OFF,ON,ON,Open
629,93,3,OFF,ON,ON,Open
630,92,2,OFF,ON,ON,Open
631,92,3,OFF,ON,ON,Open
632,91,3,OFF,ON,ON,Open
633,91,4,OFF,ON,ON,Open
634,92,3,OFF,ON,ON,Open
635,92,5,OFF,ON,ON,Open
636,93,5,OFF,ON,ON,Open
637,94,6,OFF,ON,ON,Open
638,95,5,OFF,ON,ON,Open
639,94,6,OFF,ON,ON,Open
640,94,6,OFF,ON,ON,Open
641,95,6,OFF,ON,ON,Open
642,94,6,OFF,ON,ON,Open
643,95,7,OFF,ON,ON,Open
644,95,8,OFF,ON,ON,Open
645,94,8,OFF,ON,ON,Open
646,93,8,OFF,ON,ON,Open
647,92,7,OFF,ON,ON,Open
648,92,7,OFF,ON,ON,Open
649,92,6,OFF,ON,ON,Open
650,93,7,OFF,ON,ON,Open
651,93,8,OFF,ON,ON,Open
652,92,8,OFF,ON,ON,Open
653,92,7,OFF,ON,ON,Open
654,91,7,OFF,ON,ON,Open
655,92,6,OFF,ON,ON,Open
656,92,6,OFF,ON,ON,Open
657,91,7,OFF,ON,ON,Open
658,92,6,OFF,ON,ON,Open
659,91,5,OFF,ON,ON,Open
660,90,4,OFF,ON,ON,Open
661,89,4,OFF,ON,ON,Open
662,88,6,OFF,ON,ON,Open
663,89,6,OFF,ON,ON,Open
664,89,7,OFF,ON,ON,Open
665,88,7,ON,ON,OFF,Open
666,89,6,ON,ON,OFF,Open
667,90,7,ON,ON,OFF,Open
668,91,6,ON,ON,OFF,Open
669,92,7,ON,ON,OFF,Open
670,93,7,ON,ON,OFF,Open
671,94,6,ON,ON,OFF,Open
672,95,6,ON,ON,OFF,Open
673,96,6,ON,ON,OFF,Open
674,97,5,ON,ON,OFF,Open
675,97,5,ON,ON,OFF,Open
676,96,5,ON,ON,OFF,Open
677,95,5,ON,ON,OFF,Open
678,96,6,ON,ON,OFF,Open
679,96,7,ON,ON,OFF,Open
680,96,8,ON,ON,OFF,Open
681,97,9,ON,ON,OFF,Open
682,97,8,OFF,ON,OFF,Open
683,97,8,OFF,ON,OFF,Open
684,97,9,OFF,ON,OFF,Open
685,97,9,OFF,OFF,OFF,Open
686,96,8,OFF,OFF,ON,Open
687,97,9,OFF,OFF,ON,Open
688,98,10,OFF,OFF,ON,Closed
689,99,9,OFF,OFF,ON,Open
690,99,8,OFF,OFF,ON,Open
691,98,8,OFF,OFF,ON,Open
692,97,9,OFF,OFF,ON,Open
693,96,10,OFF,OFF,ON,Open
694,97,9,OFF,OFF,ON,Open
695,96,8,OFF,OFF,ON,Open
696,97,9,OFF,OFF,ON,Open
697,97,10,OFF,OFF,ON,Open
698,96,10,OFF,OFF,ON,Open
699,96,8,OFF,OFF,ON,Open
700,95,9,OFF,OFF,ON,Open
701,95,8,OFF,OFF,ON,Open
702,96,9,OFF,OFF,ON,Open
703,97,9,OFF,OFF,ON,Open
704,96,8,OFF,OFF,ON,Open
